RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
110,Kyle Monangai   CHI,RB,17,1.1,3.6,2.0,1.8,BYE,4.4,15.4,2.4,19.8,8.8,9.7,10.8,19.0,7.7,3.3,9.3,4.7,4.9,7.6,128.7
111,DK Metcalf   PIT,WR,15,8.3,8.0,9.2,18.6,BYE,15.5,5.0,11.5,0.6,3.5,4.9,9.4,3.2,14.8,11.5,4.2,,,8.5,128.2
112,Kareem Hunt   KC,RB,17,2.6,3.4,10.4,4.7,17.7,3.4,1.8,16.2,11.5,BYE,12.2,17.0,8.0,9.0,2.0,0.2,3.8,3.5,7.5,127.4
113,Woody Marks   HOU,RB,16,0.3,5.1,3.6,23.9,2.4,BYE,9.5,11.1,2.7,14.1,5.1,6.9,6.7,13.6,9.8,,7.5,4.8,7.9,127.1
114,New England Patriots   NE,DST,17,7.0,13.0,2.0,11.0,8.0,5.0,19.0,11.0,1.0,2.0,5.0,10.0,11.0,BYE,-2.0,5.0,7.0,12.0,7.5,127.0
114,Nick Folk   NYJ,K,16,10.0,6.0,10.0,11.0,7.0,12.0,7.0,12.0,BYE,9.0,2.0,5.0,11.0,4.0,11.0,6.0,4.0,,7.9,127.0
116,Parker Washington   JAC,WR,16,0.0,7.6,3.4,5.9,7.6,2.9,6.2,BYE,9.0,14.9,2.0,13.1,2.6,,5.3,20.5,11.0,14.7,7.9,126.7
117,Wan'Dale Robinson   NYG,WR,16,5.5,20.2,2.6,1.4,3.2,14.4,9.5,4.8,4.6,6.2,3.6,21.6,3.4,BYE,11.4,2.2,11.3,,7.9,125.9
117,CeeDee Lamb   DAL,WR,14,11.0,11.2,0.0,,,,17.0,7.6,8.5,BYE,12.6,7.5,17.2,12.1,11.1,5.1,4.6,0.4,9.0,125.9
119,Stefon Diggs   NE,WR,17,5.7,3.2,2.3,10.1,14.6,2.8,6.9,7.4,9.8,10.6,10.5,2.0,2.6,BYE,2.6,13.8,16.1,4.3,7.4,125.3
120,Dallas Goedert   PHI,TE,15,4.4,,9.3,15.7,7.9,17.0,1.8,14.8,BYE,4.3,2.4,2.0,2.7,7.8,19.0,9.2,6.8,,8.3,125.1
121,DeVonta Smith   PHI,WR,17,1.6,5.3,12.0,2.9,11.4,4.9,24.3,8.4,BYE,12.9,0.8,8.9,4.8,3.7,5.0,10.2,2.5,5.2,7.3,124.8
121,Tyrone Tracy Jr.   NYG,RB,15,3.5,5.1,3.6,,,0.6,10.6,5.3,3.7,7.1,13.9,13.0,3.3,BYE,21.7,7.8,5.7,19.9,8.3,124.8
123,Michael Penix Jr.   ATL,QB,9,24.0,5.3,5.8,19.7,BYE,14.6,12.2,,22.7,11.0,7.9,,,,,,,,13.7,123.3
124,Kyle Pitts Sr.   ATL,TE,17,5.9,3.7,3.9,13.0,BYE,1.8,6.2,5.9,3.8,3.8,1.4,2.5,8.2,9.0,34.6,11.7,1.6,5.8,7.2,122.8
125,Michael Pittman Jr.   IND,WR,17,14.0,4.0,13.3,10.1,9.9,2.0,13.8,15.5,11.5,1.9,BYE,8.7,1.3,7.9,2.6,3.2,1.6,1.1,7.2,122.4
126,Atlanta Falcons   ATL,DST,17,1.0,21.0,3.0,4.0,BYE,9.0,4.0,0.0,10.0,10.0,4.0,16.0,2.0,0.0,6.0,5.0,16.0,11.0,7.2,122.0
127,Quentin Johnston   LAC,WR,14,19.9,12.9,8.9,15.8,2.9,,9.0,0.0,11.3,4.2,0.0,BYE,8.3,0.8,,16.4,9.8,,8.6,120.2
127,DJ Moore   CHI,WR,17,5.6,4.6,8.8,3.8,BYE,5.2,5.2,7.6,19.0,0.0,2.1,18.4,2.7,-0.4,18.9,16.9,0.7,1.1,7.1,120.2
129,Hunter Henry   NE,TE,17,6.6,0.9,21.0,9.9,4.6,2.7,3.3,6.7,5.1,0.9,4.5,17.5,7.3,BYE,1.8,9.5,10.9,5.6,7.0,118.8
130,Jauan Jennings   SF,WR,15,1.6,14.9,,4.4,,0.7,3.1,4.5,10.1,11.1,5.4,10.1,9.9,BYE,15.7,13.1,10.2,3.5,7.9,118.3
131,New Orleans Saints   NO,DST,17,8.0,5.0,-2.0,4.0,18.0,1.0,3.0,6.0,1.0,12.0,BYE,11.0,6.0,3.0,4.0,19.0,12.0,7.0,6.9,118.0
132,Justin Jefferson   MIN,WR,17,10.8,8.1,7.5,12.6,12.3,BYE,7.9,7.4,10.7,3.7,6.1,4.8,0.4,1.1,2.2,8.5,3.0,10.4,6.9,117.5
133,Jayden Daniels   WAS,QB,7,20.1,19.7,,,17.1,22.6,17.7,,16.2,,,BYE,,3.7,,,,,16.8,117.3
134,Travis Kelce   KC,TE,17,10.7,6.1,2.6,4.8,12.1,7.8,5.4,15.9,8.6,BYE,15.1,4.4,10.5,0.8,7.0,0.6,3.6,1.2,6.9,117.2
135,Deebo Samuel Sr.   WAS,WR,16,15.6,10.4,2.9,14.1,15.6,1.4,,1.2,4.4,8.9,13.7,BYE,6.1,2.7,4.3,3.5,9.3,2.1,7.3,116.2
136,Jake Elliott   PHI,K,17,8.0,12.0,3.0,7.0,5.0,6.0,4.0,9.0,BYE,4.0,11.0,3.0,4.0,17.0,7.0,3.0,8.0,5.0,6.8,116.0
137,Chicago Bears   CHI,DST,17,11.0,-4.0,11.0,10.0,BYE,9.0,13.0,1.0,5.0,7.0,5.0,6.0,5.0,2.0,18.0,5.0,5.0,6.0,6.8,115.0
